,S1_img_id,S1_time,S2_img_id,S2_time,cloud_perc,date,location
0,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190124T004043_20190124T004108_025612_02D7DC_C80F,1548290443000,COPERNICUS/S2_SR_HARMONIZED/20190124T051111_20190124T051109_T43PFL,1548307577000,12.176446,2019-01-24,Vembanad
1,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190223T004010_20190223T004042_015066_01C27A_2E2E,1550882410000,COPERNICUS/S2_SR_HARMONIZED/20190223T050811_20190223T051829_T43PFL,1550899577000,7.180657,2019-02-23,Vembanad
2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191120T004052_20191120T004117_029987_036C50_6575,1574210452000,COPERNICUS/S2_SR_HARMONIZED/20191120T051121_20191120T052455_T43PFL,1574227582328,18.227148,2019-11-20,Vembanad
3,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20201214T004031_20201214T004105_024691_02EFBD_DF3A,1607906431000,COPERNICUS/S2_SR_HARMONIZED/20201214T051221_20201214T052347_T43PFL,1607923578415,2.850454,2020-12-14,Vembanad
4,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20210314T004059_20210314T004124_036987_045A2B_578D,1615682459000,COPERNICUS/S2_SR_HARMONIZED/20210314T050651_20210314T051944_T43PFL,1615699580733,1.387647,2021-03-14,Vembanad
5,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20220309T004105_20220309T004130_042237_0508B6_CFED,1646786465000,COPERNICUS/S2_SR_HARMONIZED/20220309T050701_20220309T051750_T43PFL,1646803585262,3.080339,2022-03-09,Vembanad
6,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230103T004116_20230103T004141_046612_059621_F20C,1672706476000,COPERNICUS/S2_SR_HARMONIZED/20230103T051221_20230103T052338_T43PFL,1672723580272,0.544959,2023-01-03,Vembanad
7,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20230304T004114_20230304T004139_047487_05B399_70E5,1677890474000,COPERNICUS/S2_SR_HARMONIZED/20230304T050711_20230304T051951_T43PFL,1677907577932,0.493493,2023-03-04,Vembanad
8,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20241223T004116_20241223T004141_057112_070575_EB2A,1734914476000,COPERNICUS/S2_SR_HARMONIZED/20241223T051231_20241223T052219_T43PFL,1734931581665,5.068156,2024-12-23,Vembanad
9,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20250221T004112_20250221T004137_057987_072837_4138,1740098472000,COPERNICUS/S2_SR_HARMONIZED/20250221T050851_20250221T052428_T43PFL,1740115603331,6.785475,2025-02-21,Vembanad
