,S1_img_id,S1_time,S2_img_id,S2_time,cloud_perc,date,location
0,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190207T232343_20190207T232408_025830_02DFB2_2EDA,1549581823000,COPERNICUS/S2_SR_HARMONIZED/20190207T035929_20190207T040937_T46QHH,1549512769000,0.283749,2019-02-07,Inle
1,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190207T232343_20190207T232408_025830_02DFB2_2EDA,1549581823000,COPERNICUS/S2_SR_HARMONIZED/20190207T035929_20190207T040937_T47QKC,1549512768000,0.400341,2019-02-07,Inle
2,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190222T113848_20190222T113913_026042_02E742_C323,1550835528000,COPERNICUS/S2_SR_HARMONIZED/20190222T035751_20190222T035753_T46QHH,1550808765434,1.6e-05,2019-02-22,Inle
3,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190222T113848_20190222T113913_026042_02E742_C323,1550835528000,COPERNICUS/S2_SR_HARMONIZED/20190222T035751_20190222T035753_T47QKC,1550808764322,2e-05,2019-02-22,Inle
4,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190408T232343_20190408T232408_026705_02FF7E_B1CA,1554765823000,COPERNICUS/S2_SR_HARMONIZED/20190408T035539_20190408T040528_T46QHH,1554696773000,0.379832,2019-04-08,Inle
5,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190408T232343_20190408T232408_026705_02FF7E_B1CA,1554765823000,COPERNICUS/S2_SR_HARMONIZED/20190408T035539_20190408T040528_T47QKC,1554696772000,0.304559,2019-04-08,Inle
6,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191020T113858_20191020T113923_029542_035CCA_BF96,1571571538000,COPERNICUS/S2_SR_HARMONIZED/20191020T035801_20191020T040337_T46QHH,1571544772719,10.290788,2019-10-20,Inle
7,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191020T113858_20191020T113923_029542_035CCA_BF96,1571571538000,COPERNICUS/S2_SR_HARMONIZED/20191020T035801_20191020T040337_T47QKC,1571544771599,12.499992,2019-10-20,Inle
8,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191219T113856_20191219T113921_030417_037B24_20E9,1576755536000,COPERNICUS/S2_SR_HARMONIZED/20191219T040151_20191219T040855_T46QHH,1576728763370,0.070099,2019-12-19,Inle
9,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191219T113856_20191219T113921_030417_037B24_20E9,1576755536000,COPERNICUS/S2_SR_HARMONIZED/20191219T040151_20191219T040855_T47QKC,1576728762260,0.474263,2019-12-19,Inle
